série Name,série Code,pays Name,pays Code,2017 [2017],2018 [2018],2019 [2019],2020 [2020],2021 [2021],2022 [2022]
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Advanced economies,AME,2.4,2.2,1.6,1.4,1.5,1.5
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Afghanistan,AFG,2.7,1.8,2.5,3,3.5,3.5
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Albania,ALB,3.8,4.1,2.9,3.4,3.6,3.5
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Algeria,DZA,1.3,1.4,1.3,1.9,2.2,2.2
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Angola,AGO,-0.1,-1.2,-0.7,1.5,2.4,3
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Argentina,ARG,2.7,-2.5,-3.1,-1.3,1.4,2.3
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Armenia,ARM,7.5,5.2,6.9,5.1,5.2,5.2
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Azerbaijan,AZE,-0.3,1.4,2.5,2.3,2.1,2.1
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Bahrain,BHR,3.8,2.2,2,2.1,2.4,2.4
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Bangladesh,BGD,7.3,7.9,8.1,7.2,7.3,7.3
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Belarus,BLR,2.5,3,1,0.9,0.5,0.5
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Belize,BLZ,1.9,2.1,2.7,2.1,1.8,1.8
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Benin,BEN,5.8,6.7,6.4,6.7,6.7,6.7
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Bhutan,BTN,6.3,3.8,3.9,5.6,7.6,6.2
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Bolivia,BOL,4.2,4.2,2.2,3,3.2,3.4
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Bosnia and Herzegovina,BIH,3.2,3.6,3.1,3.4,3.9,3.9
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Botswana,BWA,2.9,4.5,4,4.1,4.2,4.2
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Brazil,BRA,1.3,1.3,1.1,2,2.5,2.4
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Bulgaria,BGR,3.5,3.1,3.6,3,3.1,3.1
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Burkina Faso,BFA,6.3,6.8,6,6,6,6
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Burundi,BDI,0.5,1.6,1.8,2,2.1,2.2
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Cabo Verde,CPV,3.7,5.1,5,5,5,5
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Cambodia,KHM,7,7.5,7,6.8,6.8,6.8
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Cameroon,CMR,3.5,4.1,4,4.2,4.3,4.5
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Chad,TCD,-3,2.6,3,5.5,4.8,4.8
