série Name,série Code,pays Name,pays Code,2017 [2017],2018 [2018],2019 [2019],2020 [2020],2021 [2021],2022 [2022]
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Advanced economies,AME,2.4,2.2,1.6,1.4,1.5,1.5
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,East Asia and Pacific,EAA,6.5,6.3,5.8,5.7,5.6,5.6
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Emerging Markets and Developing Economies (EMDE),EMD,4.5,4.3,3.5,4.1,4.3,4.4
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Euro Area,E19,2.5,1.9,1.1,1,1.3,1.3
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Europe and Central Asia,ECH,4.1,3.2,2,2.6,2.9,2.9
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Latin America and the Caribbean,LAP,1.9,1.7,0.8,1.8,2.4,2.6
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Middle East and North Africa,MNH,1.1,0.8,0.1,2.4,2.7,2.8
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,South Asia,SAP,6.7,7.1,4.9,5.5,5.9,6
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,Sub-Saharan Africa,SSP,2.7,2.6,2.4,2.9,3.1,3.3
"GDP growth, constant 2010 USD",NYGDPMKTPKDZ,World (WBG members),WLT,3.2,3,2.4,2.5,2.6,2.7
